sentence,true_label,predicted_label
His income right now is totally dependent on unemployment and supplemental benefits from the company he worked for.,13,1
"Despite what Budget Director Stockman says about sharing the burden of the proposed budget cuts, I don't understand how the nation's poor are going to survive with almost across-the-board cuts in social programs.",13,1
"In recognizing the unique qualities and values of America's forest resources, the Congress has by Public Law 86-753, 36 USC 163, designated the third week in October as National Forest Products Week.",21,7
"The Secretary of Labor, the Director of the Office of Management and Budget, and the Director of the Office of.",5,1
"To get letters like the letter from a lady down in New Orleans who told me that she was black, told me her age and I won't reveal it here, but she was very elderly-and then to tell me, ""Thanks for destroying the war on poverty.""",13,2
"As a New York Times editorial pointed out recently, the mere threat of tax credits ""served to jolt public education out of its lethargy.",6,1
"My focus of concern, of course, is older women and, in particular, problems that the Northeast and the Midwest are experiencing.",13,2
It's this combination of strategic strength and rhetorical candor that for the first time in years has taken American foreign policy off the defensive.,19,16
And the same thing is true of the years it would be $130 billion those cuts spread over the next 3 years.,20,1
We will continue to supply humanitarian aid to them through such voluntary and private relief agencies as the Catholic Relief Services and CARE.,19,13
"I've delighted over the years in telling the story about the community that was going to change the height of the signs along its streets, the traffic signs, going to elevate them by 2 feet, from 5 feet to 7 feet.",14,10
"The shortfall of $26 4 million from the 15 percent level of $118 9 million was due to an insufficient number of agricultural and rural development projects meeting the criteria of Title III during the year, and a conseqent programming of funds to meet the humanitarian purposes of Public Law 480  In the Title I program plan for 1981 transmitted to the Congress on September 30, 1980, pursuant to Section 40 (b) of the Act, a total of $133 2 million was identified as likely to be carried out under Title III authorities.",14,4
We're glad that you're here and thankful that leaders of your caliber strongly support our administration's commitment to strengthen private sector initiatives.,1,15
The United States has long supported scientific research and efforts to strengthen management procedures used by the International Whaling Commission.,19,17
"Well, I think very possibly this afternoon you might get an answer to that in the briefing that will be on block grants.",1,20
"A stronger, more vigilant NATO must be the background of that security and of our effort for equitable arms control.",19,16
A few years ago the GI bill was eliminated and replaced with a program having fewer benefits.,16,13
What steps to be sure that human rights violations will not be repeated?,19,2
Nowhere is that contribution more evident than here in the Federal Republic.,20,19
Another very important sign Americans are starting to save again.,15,1
I direct all agencies of the Federal government to cooperate with and participate in the celebration of National Energy Education Day.,8,6
And we hope in November that we'll add some more allies to his House over there so that we can move faster in what it is we're trying to do.,20,16
"With equal resolve, I, together with my people, am committed to the immediate removal of all foreign forces from our soil and to work hand in hand with all sectors of Lebanese society to build a nation in which all citizens have equal privileges, rights, and responsibilities.",16,19
We didn't create the 21 1/2-percent interest rates which caused so much misery on Main Street and the farm; we ended them.,1,4
This is to advise the Senate that I have today exercised my power as President to remove from office the current appointee to the position of Deputy Inspector General (Acting Inspector General) for the Department of Health And Human Services.,20,3
"Well, it wasn't until 1867, in the aftermath of a tragic and violent war and Lincoln's Emancipation Proclamation, that America gave birth to a new era and to Howard University.",6,16
"But people were weary of wartime government controls, and here and in other nations like West Germany, those controls were eliminated against the advice of some experts.",16,19
"We have been urging, and hopefully cooperating with, a solution that would lead to an election and settle this dispute by peaceful means.",19,20
"The final reductions in obligational authority and I would stress the difference between obligational authority and outlays; the outlay figure of $13 billion is firm will depend upon the ultimate choice among specific, programmatic, and management alternatives for achieving the outlay reductions.",20,1
"I can't give you an answer on that, what is going on right now, the-we did our best, as I said before, to try to bring about a peaceful settlement.",16,19
"These men have traveled across the country since their shuttle flight, and I think they now must be conscious of and realize that to all America they have now become John and Bob.",17,10
"Already traditional programs are underway, drives to collect food and clothing for those who are in need.",13,4
"Through increased public awareness and cooperation, we can build upon the progress of the past two decades and actually eliminate the serious injuries to our children which result from the abuse of harmful products.",15,3
"I am pleased to send you the annual report of the National Science Foundation for fiscal year 1981  It describes research supported by the Foundation in the mathematical, physical, environmental, biological, social, behavioral, and information sciences and in engineering.",17,3
"Our goods will go into markets not laden down with the drag of regulatory baggage or punitive levies, but with a competitive edge that helps us and those who trade with us.",18,1
"Now, just as there is need for a clearer focus on the real meaning of development and our own development record, there's a similar need to be clear about the international economic system.",19,1
"Two hundred years ago our forefathers, having fought and won the Battle of Yorktown, began the final process of establishing our federal system-the cornerstone of our Republic.",20,16
Small firms employ over half of the labor force and are leaders in employment creation and innovation; they also play an important role in expanding economic opportunities for women and minorities.,2,5
"Section 1  Executive Order No1 071  as amended, establishing the President's Commission on Pension Policy, is revoked.",1,5
Unemployment benefits have been targeted to States where they are needed.,5,1
(3) I am lifting the indefinite ban which previous administrations placed on commercial reprocessing activities in the United States.,15,8
South Africa's decision to cancel the preferential trade agreement and to phase out Zimbabwean contract workers presently in the Republic will certainly aggravate an already difficult foreign exchange situation.,18,19
We don't occupy any countries.,16,19
"In my State of the Union address, I said the time had come to control the uncontrollable in runaway government spending.",1,20
"For example, I've and I know you won't find this out of the ordinary I have announced that I'm going to ask Congress to reinstitute prayer in schools.",2,6
This was started by this administration with the idea that it is for the good and the welfare of the United States as well as for those neighbors of ours and for that strategic area.,19,13
"the critical role of government in alerting the Nation to minerals issues and in ensuring that national decision-makers take into account the impact of their decisions on minerals policy; and, the need for long-term, high potential payoff research activity of wide generic application to improve and augment domestically available materials.",8,17
It is our invitation to you and other Caribbean peoples to join a vast and bountiful market to participate directly on an independent basis in the potential and dynamic of our free enterprise system.,19,18
"We're doing the job that must be done, and we're seeing unmistakable signs that our program is working real wages, retail sales, and housing are all up.",1,15
American universities have made tremendous contributions to the development of science abroad.,17,6
"Without your participation in the plan's development, it would simply be another program imposed by Washington.",1,20
"Finally, Americans are beginning to save again.",15,1
"Through partnership of United States private businesses, in cooperation with the International Telecommunication Union, we have an opportunity to promote the well-being of people around the globe.",19,15
"Market power is, after all, determined by the availability of acceptable substitutes, barriers to entry, and the practical geographic limits of the market area.",1,15
(b) Forward to the Attorney General reports received concerning intelligence activities that the Board believes may be unlawful;.,12,16
"In Kentucky, 25 banks got together and made loans available at well below the ongoing or the present rate of interest for people who wanted to buy automobiles.",10,15
"There will be a reorganization, and Braniff expects to go back in business, back more in the pattern that it had followed before it went into the overwhelming expansion.",10,15
"But, I have to point out also that this is something inherited by the situation we've had and is created somewhat by the market.",15,1
His income right now is totally dependent on unemployment and supplemental benefits from the company he worked for.,5,1
"(b) Except as otherwise provided by statute, no other terms shall be used to identify classified information.",16,2
"Also, now, they are working and working through the title 8 program with regard to building of rental properties, particularly for senior citizens, that will be smaller than something that has been built in the past.",13,15
Your hard work and the hard work of builders before you took an American wilderness and turned it into a citadel of productivity and commerce.,15,1
Washington is a town that loves to spend money your money.,20,1
Prolonged social and economic disruption would cause an exodus of desperate people seeking refuge where so many others have already found it in the United States.,9,1
I've come to urge that America's cities take up that challenge and link arms in a united effort to lead America into a new period of growth and prosperity.,14,16
"And while there will be, I know, rare and exceptional circumstances where some particular individual will have to be replaced, I urge all of you to stick with that, because I think Don Regan would second this we've got to get control of the budget.",20,1
"Bienvenido Martinez, who came to the United States from the Dominican Republic, received on-the-job training sponsored by the Washington, D.C., Private Industry Council and now works part-time as a computer operator while attending college.",9,19
"(a) Enlist the active support and assistance of individual citizens, civic groups, private enterprise, voluntary organizations, and others in efforts to promote and improve the fitness of all Americans through regular participation in physical fitness and sports activities.",3,15
That's why we've been willing to make some hard decisions in Washington about the growth of government.,1,20
"The GATT, the World Bank, the International Monetary Fund represent free associations of independent countries who accept both the freedom and discipline of a competitive economic system.",18,19
"You could get a home mortgage for 9 percent, and consumers could afford auto loans.",10,15
"An important feature of the Convention, which benefits the United States in particular, is found in the provisions of Article 25 which provide for the exchange of information.",19,2
"In another situation a group of children, again on their own initiative and with their parents' approval, wanted to begin the school day with a minute of prayer and meditation, and they, too, were prohibited from doing so.",2,6
" By the authority vested in me as President by the Constitution and statutes of the United States, including Section 203 of the International Emergency Economic Powers Act (50 USC 1702), Section 301 of Title 3 of the United States Code, Section 1732 of Title 22 of the United States Code, and Section 301 of the National Emergencies Act (50 USC 1631), in view of the continuing unusual and extraordinary threat to the national security, foreign policy and economy of the United States upon which were based the declarations of national emergency in Executive Order No12170, issued November 14, 1979, and in Executive Order No12211, issued April 17, 1980, in light of the agreement with the Government of Iran, as reflected in the Declarations of the Government of the Democratic and Popular Republic of Algeria dated January 19, 1981, relating to the release of United States diplomats and nationals being held as hostages and to the resolution of claims of United States nationals against Iran, in order to implement Article II of the Declaration of Algeria concerning the settlement of claims and to begin the process of normalization of relations between the United States and Iran, it is hereby ordered that as of the effective date of this Order:.",16,19
"We believe in the promoting role of the state, a promoter state that fosters individual and social initiatives, yet does not waive its social function of intervention, regulation, and control.",20,13
"I transmit also, for the information of the Senate, the report of the Department of State with respect to the Convention.",19,20
"(b) The Attorney General, upon request by the head of an agency or the Director of the Information Security Oversight Office, shall render an interpretation of this Order with respect to any question arising in the course of its administration.",16,12
"Medicines and other household products must be stored out of reach and, preferably, out of sight.",3,4
"But after studying the key role that energy plays in the national financial and defense security, it is apparent that the national interest must be considered on a longer term basis than the private sector can economically, feasibly consider.",8,16
"The second provision that I find troublesome would effectively preclude the VA from conducting cost comparisons under OMB Circular A-76 to determine the most economical means of performing selected functions within its medical facilities by contract or by the use of Federal employees in VA. Over the next few months, my administration will work with the Congress to allay its concerns and to find a mutually agreeable approach to the application of the Circular's provisions to the VA..",16,3
"This administration will maintain the United States commitment to facilitate growth of additional job-creating investment, investment that will benefit all the people of Ireland.",1,19
"During the 1950's he considered the United States a refuge while he was in exile, and we were proud to receive him.",9,19
"You know they outnumber us in every conventional weapon, thousands of tanks, more than the NATO defense can have.",19,16
(c) review and examine prior disposals of surplus property for public benefit discount conveyances to ensure that the property is being used and maintained for the purpose for which it was conveyed;.,21,14
"Unless you get at the root causes of the problem which is exactly what our economic program is doing you may be able to temporarily relieve the symptoms, but you'll never cure the disease.",1,3
"We recommend that there be cooperative arrangements with the Indian tribes in States, so they can help to monitor the lease sites and share in the auditing.",21,19
Arms Sales to Foreign Countries.,16,19
And it's going to take some time before that's reflected in increased savings and an increase in the capital pool and so forth.,15,1
"Often, they work through the universities or the industrial firms which employ them, with the Federal Government acting, at most, as a catalyst.",20,6
"And to those in business here tonight, let me urge: Invest, expand.",1,15
Let me go a step further and speak a moment about one of our major concerns right now jobs.,1,5
"They're 2 1/2 times as high now, 15 4 percent.",15,1
"Consistent with these initiatives, and in order to take advantage of the inherent efficiency in the private sector, (benefiting the electricity ratepayer in the long run), nuclear waste legislation should be adopted soon, containing the following elements:.",7,8
The Soviets assert that a balance of intermediate range nuclear forces already exists.,19,16
This proposal does not affect the statutory requirement that there be an annual income level of $900 million for the Land and Water Conservation Fund.,21,7
(9) Conduct of research and development to meet needs of the United States for signals intelligence and communications security;.,17,16
"In consonance with our independent stand, we take cooperation in science, trade, or defense requirements from wherever it suits our national interest.",16,18
So many family businesses and family farms have to go out of business to pay the inheritance tax if death comes.,4,1
"Instead of workers and management trying to solve this problem by opposing each other, why not join forces and help us get government off your backs so you can get on with the task of saving American jobs, rebuilding our economy, and raising the standard of living of all our people?.",5,1
International Association of Machinists and Aerospace Workers.,10,5
It will not interfere with our determination to have an open administration present information that properly belongs to the press.,2,20
"We must change the economic direction of this country to bring more blacks into the mainstream, and we must do it now.",1,2
"I'm signing the first regular appropriations bill for 1982, the energy and water development appropriations act.",21,8
"More than 8,000 Chinese are now in the United States for long-term study and research (approximately half of this number is privately sponsored).",6,17
"The dispute has not heretofore been adjusted under the provisions of the Railway Labor Act, as amended (""the Act"").",5,10
"Personal savings, which trended downward throughout the last decade, are increasing.",15,1
"Allow me to thank him for the excellent organization of this visit, for having made possible for us to have contacts not only at the highest level, that of the Presidency of the country, but also at the level of high officials and personalities coming from the executive and the legislative powers of the United States.",19,20
Foreign forces and armed factions have too long obstructed the legitimate role of the Government of Lebanon's security forces.,16,19
Funding for the Sinai Support Mission for Fiscal Year 1981 was authorized at $16 million.,19,16
A border policy that will improve detection and interception of illegal narcotics imports.,12,19
I salute the many Americans who are working for increased public awareness of this baffling disorder and the scientists whose research holds the promise of hope.,17,3
" Pursuant to the grant of authority in article II, section 2 of the Constitution of the United States, I have granted full and unconditional pardons to W. Mark Felt and Edward S. Miller.",12,20
"Section 2  The President may at any time, pursuant to law but without regard to the foregoing provisions of this Order, direct that an officer specified by the President shall act as Secretary of State.",19,20
"At the same time, we will support intervention for extreme disruptions and dislocations in the exchange rate.",18,19
Our administration has not and will not turn its back on our elderly or needy citizens.,2,13
"(a) develop and review Federal real property acquisition, utilization, and disposal policies with respect to their relationship to other Federal policies;.",21,20
"But it's present on this great ship, on the destroyer Fletcher and the cruiser Jouett, the frigate Wadsworth as well.",16,10
 I have today signed two proclamations imposing import fees and increasing duties on sugar.,18,4
"Democratic states have a unique role in the moral history of the world, because our governments are accountable to the governed and are less likely to abuse their own citizens or to attack their neighbors.",20,19
We look forward to the enactment of a responsible clean air act to increase jobs while continuing to improve the quality of our air.,7,8
"Long before the women's movement had gained prominence, Ella Grasso had already begin the long, hard ascent to distinction as an elected public servant.",2,20
The FFA embodies the best of the volunteer spirit.,6,13
"And this would vary with incomes, on down to the poverty-level incomes, and their purchasing power was increased.",13,1
"And incidentally, since the construction industry is one of the hard hit things right now in this recession, we have taken action and I maybe sticking.",15,1
"What government must always keep in mind as it legislates and administers is the sanctity of the family, our basic social unit.",12,13
"But it has also been a productive and useful program that has built new technology, created new industries and new jobs, thus helping to strengthen our national economy.",1,15
"But in two major instances, the bill that is emerging in the House Budget Committee has serious shortcomings.",20,1
"And it appears that the displaced homemaker program, allowing their getting back into the workplace if something should happen to their spouse or family that they need to and so forth, really is going to impact upon them.",5,13
"Well, I have to believe that since this will be a tax credit, and by the government, I have to believe that, obviously, such schools would have to meet the standards of integration and be open to all.",1,6
Is it possible that you won't try to you wouldn't go to Court to fight these new sanctions?,20,19
It would be effective with respect to deductions attributable to transactions entered into on or after the date of introduction of this bill.,20,15
"I transmit also, for the information of the Senate, the report of the Secretary of State with respect to the Protocols.",19,20
"If we could send astronauts to the Moon and bring them safely back in 1969, we can get Americans back to work who want jobs, need jobs, and deserve jobs and we will.",1,5
The CETA program had too much of it going through government.,18,19
The autonomy talks were basically put on hold while we sought to untangle the parties in Lebanon and still the guns of war.,16,19
"Mr President, this morning's wholesale price figures seem to indicate that the fuel prices are still one of the prime motivating forces behind spiraling inflation.",8,1
"About $2 8 billion will be spent on training and employment programs for almost 1 million low-income people, nearly 90 percent of whom will be below the age of 2 or recipients of Aid to Families with Dependent Children.",5,13
"Turn to some of the newer and the developing countries, and those that have chosen our way the free way, free trade, democracy-are so far ahead in standard of living and the happiness of their people than the others that have chosen the other, the controlled, the authoritarian way and I think here is Lincoln said it then, and it's truer even today, this is the last best hope of man on Earth.",19,18
"What this means is that for a comparable period of time, we've appointed more women to substantive jobs than any other administration in history.",20,2
"But because it's so important, I've also directed that we carefully examine any possible improvements to the existing Hot line system.",17,20
"Now, today I want to express again my belief in our American system of collective bargaining and pledge that there will always be an open door to you in this administration.",5,1
"And this is matched in countless American communities by firemen, policemen, churches, religious groups, and service clubs.",14,12
"But you can come to a community where that isn't their major priority, but they do have another problem that they need to help on, but they don't have the flexibility to switch the funds.",14,15
I urge the House leaders to revise the committee work so that it honestly and responsibly achieves the original spending goals.,1,20
Other funds are being incorporated in block grants.,1,20
But what I would like to see us work toward is a free marketplace and let them be governed by the marketplace.,1,15
And this grant will help you and your efforts to increase local investment and create new jobs on the peninsula.,1,15
Section 3  The fourth paragraph of paragraph 115 of the said Manual for Courts-Martial is amended as follows:.,12,16
Most Americans spend their time bringing up their families and making a living.,5,1
"And Will Hays took the job of dictating a voluntary code for the motion picture industry, and he said, ""There must be no questioning.",15,5
"Last week, they stampeded the House with another temporary, public make-work program for, at best, 200,000 people.",5,20
"I have said and I intend to vote  budget-busting bills, and I will continue to do that.",20,1
"that may have been added or developed in the product) equal to 6% or less by weight of the total soluble solids, provided for in item 1 5 30, part 1 A, schedule 1.",18,4
"When it became apparent that requirements for wheat imports to Bangladesh had decreased greatly, vegetable oil was included in the agreement to keep the level of Title III financing closer to the level initially allocated, but the original target could not be reached.",19,4
Then he put her in his helicopter and took her out to the country home outside Moscow in a forest.,19,21
The human suffering which results from work-related injuries and illnesses in the Federal sector must be addressed effectively.,5,3
"In 1977, 1 barrel of oil was worth 5 pounds of coffee or 155 pounds of sugar.",4,8
Section 1  The Director of the Office of Personnel Management shall make arrangements for such national voluntary health and welfare agencies and such other national voluntary agencies as may be appropriate to solicit contributions from Federal employees and members of the uniformed services at their places of employment or duty.,20,13
"Although not a part of the legislation which I am transmitting today, the FY 1983 aid request is an integral part of our overall program for the Caribbean Basin.",19,18
"It's a city of excitement, growth, and diversity.",14,1
"But isn't there an implicit threat to those gains in the present economic crisis and, therefore, to the strategic interests of the United States, even in the hemisphere?.",1,19
"But you know, I don't need to tell you the housing construction is in a pit.",1,14
Housing permits have risen in six of the last seven months and are now 31 percent above their October low.,15,14
It asks the Federal Government to pay the settlement share of the mining companies and other local water users whose share should more properly be borne by the defendants themselves.,8,15
"As a result of our actions, real estate firms will be free to establish subsidiaries to provide additional services, like title insurance, which are necessary to complete the purchase of a home.",14,15
The economic forces at our command are the basis of a powerful guarantee of progress in peace.,1,16
"As part of our continuing commitment to help strengthen Historically Black Colleges and Universities, a commitment begun when I issued Executive Order 12320 on September 15, 1981, I am hereby directing all Federal agency heads to implement the following three policies as they continue with their efforts to comply with Executive Order 12320:.",2,6
"Apportionments are available for 2 years, after which unobligated funds may be redistributed to other States.A discretionary bridge fund of $300 million is set aside from the authorization for each year through 1988 for use on high cost bridges.",10,1
Interest rates had gone into outer space.,1,17
"Our fiscal plan has always assumed that our new management would take hold, and that savings would be possible in areas we have simply never looked at before.",1,20
"Were it able to follow the former HHS guidelines, the county would incur the expense of sponsoring bilingual programs in 15 different languages, including Urdu, Hindi, and Laotian.",3,2
"And then she had a daughter of her own, and Mrs Brown is opposed to busing in her own community, because she said now her daughter is bused miles past the school near their home- and she said that wasn't what she had in mind.",10,6
Section 3  Paragraph 213 of the said Manual for Courts-Martial is amended by deleting the last paragraph of subparagraph 213  and by adding the following new subparagraph after the end of subparagraph f:.,12,16
"Who would voluntarily choose not to have the right to vote, decide to purchase government propaganda handouts instead of independent newspapers, prefer government to worker-controlled unions, opt for land to be owned by the state instead of those who till it, want government repression of religious liberty, a single political party instead of a free choice, a rigid cultural orthodoxy instead of democratic tolerance and diversity?.",20,13
Section 11  The second paragraph of paragraph 125 of the said Manual for Courts-Martial is amended to read as follows:.,12,16
"""(b) the number of full months for which the annuity was payable from the Fund before the effective date of the increase (counting any portion of a month as a full month)"".",15,1
He shall determine and publish the agenda of NSC meetings.,16,20
"Besides that, taxes reduced our ability as individuals to save.",15,1
And the main purpose of it was not to give low interest money; it was for those people that did not have the assets that they would need to cover going into the private fund market.,13,15
"That's like the Great Depression of the thirties, due to the particular industries that have been affected in addition to construction, the steel industry, automobiles, and so forth.",1,10
And a growing number of banks are lowering their prime interest rates.,15,1
What has happened now is in this same way we see them putting into effect cuts that they know cannot last.,20,1
"As those interest rates continued, home construction and automobiles were hard hit, because few could afford to take out a mortgage or buy a car on time.",10,15
"Government activities essential to the protection of life and property, such as the treatment of patients in veterans hospitals, air traffic control, and the function of the Nation's banks, will also continue.",1,10
"I claim and from my own experience in California, in redressing welfare and in having task forces of the kind that I just announced today, that contributed billions of dollars in savings to the State government with their findings that we found that many of these programs do drift into a pattern.",13,20
Our air must be fit to breathe and our water fit to drink.,7,8
"Seeing you today and knowing of the energy and dedication you bring to the American volunteer spirit, I know our nation will only become stronger and greater when you are leading us.",13,8
"And fifth, we need the clean air bill, both to protect the environment and make it possible for industry to rebuild and create more jobs.",7,8
This is a great example of how the private sector and government can work together.,20,15
Federal growth is being brought under control.,20,1
The President and the Prime Minister discussed various problems facing the world economy.,1,19
"In spite of a stagnating Soviet economy, Soviet leaders invest 12 to 14 percent of their country's gross national product in military spending two to three times the level we invest.",16,19
People in nursing homes also need contact with the community often possible only when the community itself reaches out to those who have no families or whose families are far away.,13,6
"Bienvenido Martinez, who came to the United States from the Dominican Republic, received on-the-job training sponsored by the Washington, D.C., Private Industry Council and now works part-time as a computer operator while attending college.",5,19
"2  The application of any such provision, including Sections 303 and 310 of the Communications Act of 1934, as amended (47 USC 303 and 310), to such Government, corporations, and persons is therefore suspended to the extent of such inconsistency until the termination of the Trusteeship Agreement pursuant to Section 1002 of the Covenant.",17,15
Our income more than doubled in the 25 years after the war.,1,16
The high price support level for domestic sugar (16 75? in FY 82) creates an opportunity for foreign producers to export sugar to this country.,18,4
"And I would hope that we'd see some real direction; that if that's going to be the focus of the thing, that we make sure when they take the block grant money that they don't cut out displaced homemakers or something because they don't have the political clout in the city hall to fight back.",20,13
"Under your predecessor, Chrysler asked for a huge grant from the taxpayers to save themselves, which was granted.",15,1
The Secretary of Transportation The Secretary of Energy.,10,8
"And on all these matters I think it's fair to say that the United States, as the President had occasion to repeat in the House of Commons a few moments ago we have the assurances that the United States has the will and the determination to cooperate with us in preserving the environment for ourselves and for posterity.",7,20
Negotiations on a new long-term grains agreement are being postponed.,4,18
"In the month of May, housing starts in the building industry went up 22 percent over the previous.. All right, God bless you all, and, George, thank you for letting me be here.",15,14
"During the next 5 years our planned defense increase will come to less than 2 percent of the gross national product, or $70 billion at the 1982 level of gross national product.",16,1
"I am pleased to note that representatives of the States and affected communities of Nevada, Utah, Georgia, and Florida have participated fully in preparation of this report.",20,21
"President Reagan described the ideas behind his Berlin initiative of June 10, 1982 for an agreement between the United States and the Soviet Union on measures to help avoid the danger that accident or miscalculation could lead to a nuclear exchange between East and West.",16,19
"Increasing numbers of mothers have added outside paid employment to their traditional roles, and, similarly, fathers in increasing numbers are sharing home responsibilities with them.",5,2
Real wages are up.,1,5
"And they were spending 50-some thousand dollars, and only $3,000 of that was going for food; the $50,000 was going for administrative help.",4,1
"The proclamation concerning Older Americans Month has been issued every year since 1963, and each time it becomes more meaningful, because the number of older Americans is increasing every year.",1,2
These achievements will serve as a catalyst for solid and widespread housing industry growth benefiting all Americans.,15,14
"And when he went home, he wrote to his fellow Frenchmen about what he had seen here.",19,20
"Citizens must have complete confidence in the sanctity of their right to vote, and that's what this legislation is all about.",2,20
"You're trying to build a natural rubber industry, which is going to bring jobs to this country, which is great, especially in Salinas, California.",15,8
"The pipeline, when finished, will result in the Soviet Union getting hard cash, which it does not now have and which it can then use to further build up its military might.",19,16
"Mr President, do you have a plan for getting the United States out of Lebanon if fighting should break out there, or could the marine presence there lead to another long entanglement such as Vietnam?.",19,16
What about a summit meeting with House and Senate leadership on the budget?.,20,1
"The wholesale and retail trade employs some 21 million Americans, as you well know.",15,18
"He was honored in 1906 when the Congress had a statue of him erected in Lafayette Square in Washington, D.C., and since then a statue has also been erected by our Government in County Wexford, Ireland.",20,19
The Congress has now sent an important signal to America's markets and to the world.,20,1
"If there had never been a migration from your country, we would still be kindred spirits because of our common ideals.",9,19
Retail sales are up; housing starts and permits are up; the value of the dollar is up; productivity is up; research and development spending is up; venture capital in small business near a record.,1,15
"Following two great wars in which Germans and Americans were adversaries, we Germans came to experience the greatest virtue of the Americans their generosity and their desire to help.",16,19
The Communist Party does not have to reveal its list of contributors because those contributors might be politically harassed by our own government.,2,20
"The great, senseless cruelty and tragedy of it is simply to create terror by making people generally feel unsafe.",19,12
"So, I am particularly pleased to sign this bill which represents a sound and productive program for helping American people.",20,1
"And he knows that I meant it when I pledged to him that we will never allow them to their qualitative and quantitative military advantage to be done away with, but that what we're trying to do with the more moderate Arab States is persuade them to become additional Egypts, to do as Egypt did.",16,19
"President of the United States of America, do hereby proclaim Friday, July 17, 1981, as National P.O.W.-M.I.A.",16,20
I appreciate that your presence here represents something of a commitment to provide the leadership necessary to build stronger working partnerships to tackle community problems throughout the country.,14,15
All of these realizations provide a powerful antidote to those who argue that state power and armed might are the only means to social or economic progress.,20,1
Terrorism threatens the fabric of society by indiscriminately aiming violence at the innocent.,19,12
"But with regard to the service, we've had no direct, official word yet on anything about the service, although we are in communication directly with them.",13,17
On the way out here I told Air Force One's pilot to fly low over Mount Rushmore.,16,10
"In accordance with Executive Order 12357 of April 6, 1982, the Sinai Support Mission will conclude its activities no later than September 30, 1982, at which time the Department of State will assume responsibility for any residual actions necessary to complete activities initiated by the Mission.",16,19
"Its humanitarian concerns are evident in the programs of such specialized agencies as the Inter-American Children's Institute, the Pan American Health Organization, and the Inter-American Institute for Cooperation in Agriculture.",3,4
"In the field of balance of payments support, we look forward to progress at the September IMF annual meeting towards settling the increase in the size of the fund appropriate to the coming Eighth Quota Review.",18,19
"She said, ""I was ordered to go out and buy new office furniture because we couldn't have any money left over or the grant might be reduced for the coming year.""",20,15
The Center for Export Information has researched that Hispanic minority business enterprise is ready to launch a national crusade for export expansion.,18,2
"The specialty steel industry is an efficient, technologically up-to-date and export-oriented branch of the steel industry.",1,18
What would you like to say to her today about how she cannot provide medical care for her children or feed them with food stamps?.,13,3
"If those programs were truly successful, they would be removing people from government dependency and making them self-sustaining.",20,13
The problem of foreign exchange and stability of markets is considered very important for the proper and consistent development of our economies.,15,19
"And that, ladies and gentlemen, is why I invited you here today to forge with me a new kind of cooperation between government and the private sector, between profit and nonprofit organizations, between families across our land and those abroad in an exciting exchange of our young people.",20,15
27  We endorse efforts to reach agreement by the end of this year on reducing subsidy elements in official export credit schemes.,15,18
"(2) The level of economic development of the member countries of the association, including their per capita gross national product, the general living standards of their populations, the levels of health, nutrition, education and housing of their populations, and the degree of industrialization of the countries;.",1,3
"General Eisenhower wrote in his personal diary less than a year after the end of the Second World War, ""Our most effective security step is to develop in every country where there is any chance or opportunity a democratic form of government.",19,16
"They've had the refueling in Athens, which should put them by now on their way to Algiers.",16,19
"The waiver authority has permitted us to conclude and maintain in force bilateral trade agreements with Romania, Hungary, and the People's Republic of China.",18,19
"The Inspector General's office at AID secured a guilty plea from a former AID employee accused of extorting $138,000 for channeling a rice-seed contract to a firm in the Far East.",19,12
But that didn't help many local governments which lost effective control of their communities.,14,20
The Guard has been responsible for saving countless lives and millions of dollars of property and equipment by its quick responses and efficiency.,10,16
"The deferrals are for programs in International Development Assistance, the Departments of Agriculture, Commerce, Defense, Energy, Health and Human Services, Interior, State, Transportation, Treasury, the District of Columbia, the Pennsylvania Avenue Development Corporation and the Railroad Retirement Board.",1,4
"If we're to move new and more goods in and out of our cities, if our cities are to attract more residents there is another facet we must face the fact that their infrastructure is falling into disrepair, less and less able to support growing demands.",10,1
"I appreciate your support, and I'm looking forward to a close working relationship with the Association of General Contractors.",15,20
"There have been a number of new initiatives, things that we have suggested a prayer-in-school amendment that I announced last week that I believe its time has come.",2,6
"We must seek out and develop new markets around the world, make our goods more competitive, accelerate job training, and give greater incentives to the pioneers creating products, technologies, and jobs for our future.",19,5
"And then there's the unseen cost which is harder to calculate but nonetheless devastating: Regulation tends to smother innovation, discourage new investment, increase labor costs, and reduce competition.",20,15
"We used our power as a force for good, to take freedom's next step, and with our Marshall plan lift mankind another rung.",16,20
"The deferrals affect programs in the Departments of Agriculture, Commerce, Interior and Labor as well as the Board for International Broadcasting, the International Communication Agency, the Railroad Retirement Board and the Small Business Administration.",5,4
"8  In shaping our long term economic policies, care should be taken to preserve the environment and the resource base of our planet.",19,1
The United States has been preparing for these negotiations through close consultation with our NATO partners.,19,16
"In addition, section 514 requires similar committee approval before funds may be transferred, pursuant to statutory authority, between appropriations accounts.",1,20
"First, I was honored to we]come back the hostages from Iran, and two of the Marines had been especially heroic.",19,16
(4) The fact that this association provides the United States with equitable and reasonable access to its market.,1,15
"But he doesn't want to cut at all, does he?.",1,20
"And, fifth, we need to pass the clean air bill which, while protecting the environment, will make it possible for industry to rebuild its productive base and create more jobs.",7,8
"The ESF agreement is part of the multilateral effort involving other major countries, acting through the Bank for International Settlements (""BIS""), the ESF and the Federal Reserve System to provide Short-term facilities amounting to $1 85 billion to the Bank.",1,19
